state,cand,vote,delegates,radius,xValue,yValue,abbrev
District of Columbia,Sanders,23.8,6,5.236943745506094,536,193,DC
Alabama,Steyer,2.3,0,0.0,413,332,AL
Alaska,Steyer,3.1,0,0.0,41,19,AK
Arizona,Steyer,2.5,0,0.0,172,282,AZ
Arkansas,Steyer,2.2,0,0.0,325,290,AR
California,Steyer,3.3,0,0.0,103,237,CA
Colorado,Steyer,1.3,0,0.0,224,249,CO
Connecticut,Steyer,3.3,0,0.0,586,128,CT
Delaware,Steyer,2.4,0,0.0,557,183,DE
Florida,Steyer,1.7,0,0.0,483,380,FL
Georgia,Steyer,2.1,0,0.0,443,298,GA
Hawaii,Steyer,3.6,0,0.0,88,372,HI
Idaho,Steyer,3.1,0,0.0,188,173,ID
Illinois,Steyer,2.3,0,0.0,359,207,IL
Indiana,Steyer,1.1,0,0.0,413,207,IN
Iowa,Steyer,0.0,0,0.0,306,195,IA
Kansas,Steyer,1.1,0,0.0,266,248,KS
Kentucky,Steyer,2.2,0,0.0,411,251,KY
Louisiana,Steyer,2.3,0,0.0,326,335,LA
Maine,Steyer,2.9,0,0.0,628,26,ME
Maryland,Steyer,2.3,0,0.0,505,185,MD
Massachusetts,Steyer,2.6,0,0.0,607,89,MA
Michigan,Steyer,1.6,0,0.0,418,149,MI
Minnesota,Steyer,0.7,0,0.0,304,142,MN
Mississippi,Steyer,2.3,0,0.0,373,324,MS
Missouri,Steyer,1.7,0,0.0,329,251,MO
Montana,Steyer,3.4,0,0.0,206,131,MT
Nebraska,Steyer,1.1,0,0.0,258,209,NE
Nevada,Steyer,9.0,0,0.0,167,220,NV
New Hampshire,Steyer,3.6,0,0.0,612,54,NH
New Jersey,Steyer,2.2,0,0.0,551,147,NJ
New Mexico,Steyer,3.0,0,0.0,215,303,NM
New York,Steyer,1.7,0,0.0,548,81,NY
North Carolina,Steyer,3.1,0,0.0,499,278,NC
North Dakota,Steyer,1.0,0,0.0,257,136,ND
Ohio,Steyer,1.8,0,0.0,459,191,OH
Oklahoma,Steyer,1.5,0,0.0,270,294,OK
Oregon,Steyer,3.3,0,0.0,124,176,OR
Pennsylvania,Steyer,1.4,0,0.0,498,132,PA
Rhode Island,Steyer,3.3,0,0.0,619,126,RI
